song_id,title,artist,tempo
531,Side Effects,Stray Kids,129.987
534,Heroine,SUNMI,121.991
538,Siren,SUNMI,122.012
540,Black Suit,SUPER JUNIOR,121.978
541,Bonamana,SUPER JUNIOR,125.012
544,"Sorry, Sorry",SUPER JUNIOR,129.946
545,Danger,SUPER JUNIOR-D&E,134.991
547,Jopping,SuperM,123.024
554,Bo Peep Bo Peep,T-ARA,128.031
555,Lovey-Dovey,T-ARA,128.063
556,Number 9,T-ARA,127.986
557,Roly-Poly,T-ARA,130.004
558,SEXY LOVE,T-ARA,132.059
559,Sugar Free,T-ARA,127.987
560,Crazy,TEEN TOP,139.993
561,No more perfume on you,TEEN TOP,130.018
566,RED,The Rose,128.067
568,9 and Three Quarters (Run Away),TOMORROW X TOGETHER,128.937
571,Can't You See Me?,TOMORROW X TOGETHER,139.925
573,LOSER=LOVER,TOMORROW X TOGETHER,124.997
578,I LOVE YOU,TREASURE,130.024
580,DOOM DOOM TA,TRI.BE,126
585,FANCY,TWICE,132.022
586,Feel Special,TWICE,128.983
589,TT,TWICE,129.946
591,YES or YES,TWICE,137.981
592,Am I too easy?,U-KISS,126.02
603,Mayday,VICTON,128.136
604,nostalgic night,VICTON,140.033
606,ETERNITY,VIXX,129.089
609,Burn It Up,Wanna One,127.923
610,Energetic,Wanna One,125.046
615,Crush,Weki Meki,124.007
626,UNNATURAL,WJSN,124.203
627,So Hot,Wonder Girls,139.985
630,FLASH,X1,132.04
632,Dancing King,Yoo Jae Seok,127.987
