song_id,title,artist,tempo
372,No more drama,MAMAMOO,116.931
373,Piano Man 2021,MAMAMOO,111.102
376,Um Oh Ah Yeh,MAMAMOO,104.977
379,Wind flower,MAMAMOO,113.988
380,Woo Hoo,MAMAMOO,111.936
381,Yes I Am,MAMAMOO,120.115
382,Chocolate,MAX CHANGMIN,104.998
390,Alligator,Monsta X,98.032
393,Fallin',Monsta X,119.98
395,Follow,Monsta X,109.961
396,From Zero,Monsta X,105.041
398,Jealousy,Monsta X,102.988
400,Now or Never,Monsta X,106.037
401,Oh My,Monsta X,114.96
403,Play It Cool,Monsta X,120.012
406,SPOTLIGHT,Monsta X,103.014
408,WHO DO U LOVE?,Monsta X,101.989
410,Bad Idea,MOONBIN&SANHA(ASTRO),110.092
411,SHE BAD,MYTEEN,108.019
412,Rooftop,N.Flying,96.989
413,Girls,NATURE,115.05
414,90's Love,NCT,107.995
415,BOSS,NCT,99.026
416,Make A Wish (Birthday Song),NCT,100.954
419,Fire Truck,NCT 127,110.006
424,Superhuman,NCT 127,117.018
425,Whiplash,NCT 127,99.984
426,BOOM,NCT DREAM,119.969
429,Hot Sauce,NCT DREAM,100.034
432,I'm Alive,NIve,105.023
435,I'm in Trouble,NU'EST,100.043
439,Dolphin,OH MY GIRL,113.993
441,Twilight,ONEUS,116.906
449,Runaway,PENTAGON,93.027
452,Get It,PRISTIN V,99.021
453,I Know You Know,PRODUCE 101,114.982
454,Oh Little Girl,PRODUCE 101,92.965
457,Rumor,PRODUCE 48,101.944
459,MOVE,PRODUCE X 101,106.875
460,Pretty girl,PRODUCE X 101,97.967
461,To My World,PRODUCE X 101,116.923
463,My Heart Skip a Beat,PURPLE KISS,115.95
464,Ponzona,PURPLE KISS,110.008
465,Zombie,PURPLE KISS,110.017
470,Peek-A-Boo,Red Velvet,114.953
476,Monster,Red Velvet - IRENE & SEULGI,115.665
477,Naughty,Red Velvet - IRENE & SEULGI,112.983
478,BIM BAM BUM,Rocket Punch,102.019
482,Better Together,SE7EN,119.999
483,Madonna,Secret,104.967
484,Magic,Secret,107.031
487,CLAP,SEVENTEEN,100.024
488,Don't Wanna Cry,SEVENTEEN,100.005
489,Fast Pace,SEVENTEEN,114.982
492,HOME;RUN,SEVENTEEN,96.106
494,Lilili Yabbay,SEVENTEEN,112.135
495,Mansae,SEVENTEEN,111.96
496,MY I,SEVENTEEN,120.052
497,My My,SEVENTEEN,100.043
498,Oh My!,SEVENTEEN,91.966
502,Now or Never,SF9,120.056
504,Tear Drop,SF9,119.963
505,Bad Habits,SHAUN,120.001
506,AMIGO,SHINee,117.034
510,Replay,SHINee,99.977
516,SHAKE IT,SISTAR,118.997
518,Tulips,SNUPER,115.016
524,Back Door,Stray Kids,107.952
532,Victory Song,Stray Kids,103.046
533,Gashina,SUNMI,93.941
535,LALALAY,SUNMI,110.014
536,Noir,SUNMI,117.039
537,pporappippam,SUNMI,120.014
539,2YA2YAO!,SUPER JUNIOR,100.09
542,Lo Siento,SUPER JUNIOR,94.808
543,"Sexy, Free & Single",SUPER JUNIOR,114.94
546,100,SuperM,114.993
549,1+1=0 (Feat. DEAN),SURAN,119.932
551,MOVE,TAEMIN,99.964
552,WANT,TAEMIN,104.943
562,Giddy Up,THE BOYZ,118.045
563,No Air,THE BOYZ,102.025
564,REVEAL,THE BOYZ,95.043
565,The Stealer,THE BOYZ,115.956
567,0X1=LOVESONG (I Know I Love You) feat. Seori,TOMORROW X TOGETHER,104.973
569,Blue Hour,TOMORROW X TOGETHER,112.005
570,Blue Orangeade,TOMORROW X TOGETHER,111.015
572,CROWN,TOMORROW X TOGETHER,110.977
574,PUMA,TOMORROW X TOGETHER,104.951
575,"Count 1, 2",TOO,119.918
576,BOY,TREASURE,110.062
577,COME TO ME,TREASURE,105.028
581,365 FRESH,Triple H,107.989
582,The Chance of Love,TVXQ!,112.013
583,Alcohol-Free,TWICE,97.097
584,Breakthrough,TWICE,112.006
588,MORE & MORE,TWICE,106.99
593,CHECKMATE,Various Artists,99.986
595,Wow Thing,Various Artists,104.043
596,Gorgeous,VAV,114.958
597,Senorita,VAV,97.992
598,Thrilla Killa,VAV,105.982
599,Lay Back,VERIVERY,110.07
600,Ring Ring Ring,VERIVERY,107.995
601,Tag Tag Tag,VERIVERY,109.014
605,Chained Up,VIXX,92.073
608,BOOMERANG,Wanna One,99.974
611,Take Off,WayV,103.023
616,DAZZLE DAZZLE,Weki Meki,118.029
617,I Don'T Like Your Girlfriend,Weki Meki,99.961
620,water color,Whee In,107.947
621,EVERYDAY,WINNER,120.022
623,ISLAND,WINNER,102.982
624,MILLIONS,WINNER,108.992
625,REALLY REALLY,WINNER,103.006
628,Open Mind,WONHO,110.043
629,FACE,Woosung,113.034
631,Do Better,Y teen (MONSTA X & WJSN),101.012
634,Eureka (Feat. Zion.T),ZICO,119.936
